TYPE,AGE,RACE,FAMSIZE,HISTORIC,START_YEAR,END_YEAR,REHABTOTAL,FY_COMPLT,PARCEL_ID
SF,0,0 - NON-PROFIT,,0,09/13,5/15,674,FY15,502
SF,45,11 - WHITE,2,0,09/15,06/16,42940,FY16,1095
SF,0,0,,0,10/12,02/13,0,FY13,455
SF,,0,,0,10/12,02/13,0,FY13,455
SF,,0,0,0,10/12,02/13,0,FY13,455
SF,0,0 - NON-PROFIT,0,0,10/15,05/16,48000,FY16,78
SF,50,18 - BLACK/AF AM & WHITE,1,0,01/16,06/16,9640.080078125,FY16,623
SF,44,12 - BLACK/AFRICAN AMER,7,0,05/16,05/16,0,FY16,713
SF,0,0 - NON-PROFIT,0,0,06/15,06/16,73883.7890625,FY16,713
SF,0,0 - NON-PROFIT,,0,02/14,05/16,161293,FY16,66
SF,42,12 - BLACK/AFRICAN AMER,2,0,05/16,05/16,0,FY16,66
SF,52,11 - WHITE,1,0,03/15,04/16,29715.5,FY16,902
SF,24,11 - WHITE,1,0,01/16,02/16,0,FY16,114
SF,0,0 - NON-PROFIT,,0,11/14,02/16,173607,FY16,114
SF,28,12 - BLACK/AFRICAN AMER,3,0,01/07,02/07,0,FY07,901
SF,43,11 - WHITE,3,0,01/07,02/07,0,FY07,463
SF,43,12 - BLACK/AFRICAN AMER,1,1,02/07,10/07,24970,FY08,555
SF,42,20 - OTHER MULTI-RACIAL,3,0,11/07,04/08,11335,FY08,735
SF,23,11 - WHITE,1,0,04/07,05/07,0,FY07,150
SF,0,20 - OTHER MULTI-RACIAL,7,0,06/07,12/07,93200,FY08,563
SF,0,12 - BLACK/AFRICAN AMER,2,0,06/07,01/08,77900,FY08,620
SF,0,12 - BLACK/AFRICAN AMER,3,0,06/07,02/08,84800,FY08,475
SF,0,0 - NON-PROFIT,0,0,06/07,09/08,84600,FY09,631
SF,37,11 - WHITE,4,0,06/07,07/07,0,FY07,1025
SF,67,11 - WHITE,2,0,07/07,08/07,1675,FY08,835
SF,29,11 - WHITE,2,0,07/07,08/07,0,FY08,936
SF,0,0 - NON-PROFIT,0,0,08/07,08/11,102489.3203125,FY12,591
SF,37,12 - BLACK/AFRICAN AMER,3,0,09/07,09/07,0,FY08,748
SF,55,11 - WHITE,7,1,11/07,06/08,39366.80078125,FY08,339
SF,27,11 - WHITE,4,0,11/07,02/09,31495,FY09,743
SF,44,11 - WHITE,2,0,12/07,01/08,5650,FY08,411
SF,25,11 - WHITE,3,0,11/07,01/08,9275,FY08,1012
SF,36,11 - WHITE,2,0,12/07,12/07,0,FY08,1044
SF,29,13 - ASIAN,1,1,10/07,11/07,2542,FY08,348
SF,66,11 - WHITE,2,0,01/07,06/07,24479,FY07,888
SF,27,11 - WHITE,4,0,10/07,06/08,20928,FY08,69
SF,0,0 - NON-PROFIT,0,0,10/07,06/09,157462.296875,FY09,590
SF,0,0 - NON-PROFIT,0,0,10/07,,0,FY10,187
SF,0,0 - NON-PROFIT,0,0,10/07,,0,FY10,188
SF,0,20 - OTHER MULTI-RACIAL,10,0,10/07,06/08,94700,FY08,283
SF,55,11 - WHITE,1,0,10/07,09/08,39728,FY09,674
SF,74,12 - BLACK/AFRICAN AMER,2,0,10/07,10/07,5895,FY08,1041
SF,33,11 - WHITE,2,0,10/07,10/07,325,FY08,306
SF,58,20 - OTHER MULTI-RACIAL,1,0,07/07,07/07,0,FY08,53
SF,71,11 - WHITE,2,0,06/07,07/07,2400,FY07,920
SF,33,11 - WHITE,3,0,05/07,05/07,0,FY07,816
SF,28,11 - WHITE,1,0,03/07,04/07,0,FY07,516
SF,27,11 - WHITE,3,0,05/07,05/07,0,FY07,86
SF,32,12 - BLACK/AFRICAN AMER,4,0,08/07,08/07,0,FY08,23
SF,35,15 - HAWAIIAN OR PAC ISL,2,0,08/07,09/07,1574,FY08,1011
SF,48,11 - WHITE,2,0,08/07,10/07,22961,FY08,750
SF,40,11 - WHITE,1,0,07/07,08/07,17180,FY08,417
SF,38,11 - WHITE,5,0,08/07,11/07,19921.25,FY08,774
SF,39,12 - BLACK/AFRICAN AMER,4,0,04/07,05/07,1424,FY07,848
SF,39,11 WHITE,4,0,06/09,09/09,11095,FY10,125
SF,0,20 - OTHER MULTI-RACIAL,7,0,06/07,12/07,91700,FY08,562
SF,35,11 - WHITE,3,0,09/07,09/07,0,FY08,307
SF,52,11 - WHITE,1,0,09/07,09/07,17910,FY08,321
SF,25,18 - BLACK/AF AM & WHITE,2,0,04/07,05/07,0,FY07,892
SF,38,12 - BLACK/AFRICAN AMER,4,0,05/07,06/07,0,FY07,832
SF,0,11 - WHITE,1,0,01/07,05/07,147528,FY07,525
SF,0,0 - NON-PROFIT,0,0,06/07,10/08,163872,FY09,596
SF,53,11 - WHITE,2,0,05/07,07/07,22750,FY08,751
SF,23,11 - WHITE,1,0,05/07,06/07,0,FY07,34
RENTAL,0,20 - OTHER MULTI-RACIAL,0,0,06/07,08/07,79885.9921875,FY08,288
SF,59,11 - WHITE,3,0,06/07,08/07,9997,FY08,688
SF,69,12 - BLACK/AFRICAN AMER,1,0,11/08,12/08,5102,FY85,830
SF,50,20 - OTHER MULTI-RACIAL,5,0,05/08,06/08,14043,FY08,881
SF,24,11 - WHITE,3,0,03/07,08/07,25768,FY08,107
SF,46,11 - WHITE,6,0,05/07,06/07,5192,FY07,1059
SF,52,12 - BLACK/AFRICAN AMER,2,0,05/08,09/08,15010,FY09,818
SF,46,11 - WHITE,4,0,07/07,08/07,0,FY08,969
SF,23,11 - WHITE,3,0,09/07,01/08,28520,FY08,37
SF,66,11 - WHITE,1,0,09/07,11/07,7174,FY08,864
SF,41,17 - ASIAN & WHITE,1,0,07/07,10/07,325,FY08,32
SF,73,11 - WHITE,1,0,10/07,06/08,24252,FY08,907
SF,32,11 - WHITE,5,0,10/07,01/08,16305,FY08,175
SF,33,11 - WHITE,3,0,10/07,04/08,8544,FY08,1036
SF,32,11 - WHITE,4,0,09/07,11/07,30675,FY08,2
SF,60,12 - BLACK/AFRICAN AMER,1,0,09/08,11/08,4300,FY09,667
SF,65,12 - BLACK/AFRICAN AMER,1,0,09/08,12/08,28415,FY09,649
SF,0,,0,0,6/87,10/87,12550.349609375,FY88,
SF,51,12 - BLACK/AFRICAN AMER,2,0,10/07,05/08,25875,FY08,132
SF,58,11 - WHITE,1,0,02/07,05/07,25230,FY07,423
SF,23,11 - WHITE,2,0,02/07,03/07,1785,FY07,964
SF,33,11 - WHITE,6,0,03/07,04/07,4630,FY07,853
SF,27,11 - WHITE,1,0,03/07,09/07,34808,FY08,143
SF,73,11 - WHITE,1,1,09/07,01/08,77416.703125,FY08,574
SF,52,11 - WHITE,1,0,09/08,12/08,22233,FY09,755
SF,89,11 - WHITE,1,1,06/08,08/08,30303,FY09,372
SF,54,11 - WHITE,1,0,04/08,11/08,17207,FY09,1065
SF,64,11 - WHITE,1,1,10/08,11/08,11122,FY09,409
SF,38,11 - WHITE,2,0,04/08,08/08,15232,FY09,1077
RENTAL,0,11 - WHITE,0,1,05/08,08/08,375,FY09,429
SF,32,18 - BLACK/AF AM & WHITE,3,0,03/09,06/09,0,FY09,770
RENTAL,36,11 - WHITE,,1,09/08,07/09,14965,FY10,458
RR,51,11 - WHITE,0,0,03/09,07/09,13090,FY10,39
RENTAL,45,11 - WHITE,0,1,05/09,12/09,34250,FY10,424
SF,31,12 - BLACK/AFRICAN AMER,2,0,12/09,12/09,2589,FY10,857
RENTAL,40,11 - WHITE,0,1,09/08,06/09,19689,FY09,373
RENTAL,65,11 - WHITE,0,0,02/09,06/09,9355,FY09,595
SF,64,12 - BLACK/AFRICAN AMER,1,0,05/08,08/08,17435,FY09,812
SF,80,11 - WHITE,1,0,09/07,04/08,23218,FY08,690
SF,29,11 - WHITE,2,0,07/12,07/12,0,FY13,528
RENTAL,53,11 - WHITE,,0,05/12,10/12,8820,FY13,922
RENTAL,53,11 - WHITE,,0,06/12,11/12,5850,FY13,1099
SF,0,0 - NON-PROFIT,0,0,10/09,04/12,50000,FY12,784
RENTAL,50,12 - BLACK/AFRICAN AMER,0,1,06/09,02/10,15850,FY10,196
SF,25,12 - BLACK/AFRICAN AMER,1,0,08/09,08/09,0,FY10,795
RENTAL,41,11 - WHITE,0,0,11/08,04/09,12250,FY09,614
SF,40,11 - WHITE,5,0,02/09,08/09,24620,FY10,782
SF,32,12 - BLACK/AFRICAN AMER,4,0,11/09,03/10,20135,FY04,820
RENTAL,,11 - WHITE,,0,06/11,11/11,355,FY12,828
SF,44,11 - WHITE,2,0,11/11,12/11,0,FY12,558
SF,,11 - WHITE,2,0,06/11,07/11,0,FY12,874
RENTAL,1,11 - WHITE,0,0,12/08,06/09,375,FY09,695
SF,59,11 - WHITE,2,0,02/08,10/08,18128,FY09,38
SF,91,11 - WHITE,1,0,08/08,10/08,16240,FY09,45
RENTAL,50,12 - BLACK/AFRICAN AMER,0,1,06/09,12/09,18520,FY10,208
RENTAL,52,11 - WHITE,0,0,07/09,12/09,2795,FY10,533
RENTAL,49,11 - WHITE,0,1,05/09,12/09,31500,FY10,581
RENTAL,30,11 - WHITE,0,0,06/09,12/09,9200,FY10,744
SF,74,11 - WHITE,2,0,01/08,11/08,25534,FY09,266
RENTAL,39,11 - WHITE,0,0,05/08,09/08,29775,FY09,242
SF,32,11 - WHITE,7,0,07/08,11/08,6094,FY09,919
SF,50,11 - WHITE,1,0,05/09,06/09,0,FY09,1040
SF,28,11 - WHITE,1,0,04/08,12/08,325,FY09,1005
SF,43,12 - BLACK/AFRICAN AMER,3,0,12/09,12/09,0,FY10,1072
RENTAL,40,11 - WHITE,0,0,01/08,03/08,9470,FY08,686
SF,34,11 - WHITE,4,0,05/08,0309,375,FY09,484
SF,26,11 - WHITE,2,0,01/08,01/08,0,FY08,1060
SF,26,11 - WHITE,1,0,02/08,04/08,0,FY08,1050
SF,39,12 - BLACK/AFRICAN AMER,3,0,04/09,05/09,0,FY09,21
SF,56,11 - WHITE,1,0,12/10,09/11,22187,FY12,842
